Titre,Prix,Ville,Surface,Chambres,Salle_de_bain,Etage,Lien,Quartier,Prix_m2,Total_pieces,Is_centre,Is_outlier
Joli appartement vue piscine et parking sous sol,8000,Marrakech,75,2,2,4.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Joli_appartement_vue_piscine_et_parking_sous_sol_57642221.htm, Guéliz,106.66666666666667,4,False,False
Studio luxe meublé Val Fleuri,7500,Casablanca,50,1,1,3.0,https://www.avito.ma/fr/val_fleuri/appartements/Studio_luxe_meubl%C3%A9_Val_Fleuri_57215916.htm, Val Fleuri,150.0,2,False,False
Studio 50m Meublé Bd Bourgogne,5000,Casablanca,50,1,1,3.0,https://www.avito.ma/fr/bourgogne/appartements/Studio_50m_Meubl%C3%A9_Bd_Bourgogne_57746353.htm, Bourgogne,100.0,2,False,False
Location Appartement meublé à Hay Riad,18000,Rabat,130,3,2,4.0,https://www.avito.ma/fr/hay_riad/appartements/Location_Appartement_meubl%C3%A9_%C3%A0_Hay_Riad_57805718.htm, Hay Riad,138.46153846153845,5,False,False
Studio meublé 45m² CentreVille TRAM,5300,Casablanca,45,1,1,12.0,https://www.avito.ma/fr/centre_ville/appartements/Studio_meubl%C3%A9_45m%C2%B2_CentreVille_TRAM_57603656.htm, Centre Ville,117.77777777777777,2,True,False
Appartement meublé haut standing à louer,13000,Marrakech,84,2,2,4.0,https://www.avito.ma/fr/route_de_safi/appartements/Appartement_meubl%C3%A9_haut_standing_%C3%A0_louer_57844730.htm, Route de Safi,154.76190476190476,4,False,False
Superbe appartement meublé à louer - La Gironde,6500,Casablanca,88,2,1,2.0,https://www.avito.ma/fr/la_gironde/appartements/Superbe_appartement_meubl%C3%A9_%C3%A0_louer___La_Gironde_57778904.htm, La Gironde,73.86363636363636,3,False,False
Appart 110m Meublé Neuf Maarif Ex Près Carrefour,7500,Casablanca,110,2,2,4.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appart_110m_Meubl%C3%A9_Neuf_Maarif_Ex_Pr%C3%A8s_Carrefour_57731212.htm, Maârif Extension,68.18181818181819,4,False,False
Appartement à louer 80 m² à Casablanca,6500,Casablanca,80,2,2,0.0,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_louer_80_m%C2%B2_%C3%A0_Casablanca_56771875.htm, 2 Mars,81.25,4,False,False
Appartement Meublé à louer à El Jadida,8000,El Jadida,82,2,2,0.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Meubl%C3%A9_%C3%A0_louer_%C3%A0_El_Jadida_57775646.htm, Autre secteur,97.5609756097561,4,False,False
Appartement à louer à Plage des Nations,13000,Sidi Bouknadel,130,3,2,1.0,https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_louer_%C3%A0_Plage_des_Nations_57186615.htm, Toute la ville,100.0,5,False,False
Appartement terrasse meublé 120 m² Val Fleuri,10000,Casablanca,120,2,2,4.0,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_terrasse_meubl%C3%A9_120_m%C2%B2_Val_Fleuri_57670597.htm, Val Fleuri,83.33333333333333,4,False,False
F2 à louer résidence Kettani,6000,Agadir,75,1,2,3.0,https://www.avito.ma/fr/riad_salam/appartements/F2_%C3%A0_louer_r%C3%A9sidence_Kettani_57872826.htm, Riad Salam,80.0,3,False,False
Studio terrasse meublé Mers Sultan,5500,Casablanca,60,1,1,4.0,https://www.avito.ma/fr/mers_sultan/appartements/Studio_terrasse_meubl%C3%A9_Mers_Sultan_57610249.htm, Mers Sultan,91.66666666666667,2,False,False
Appartement 2 pièces 70m2 meublé,25000,Marrakech,70,1,1,1.0,https://www.avito.ma/fr/hivernage/appartements/Appartement_2_pi%C3%A8ces_70m2_meubl%C3%A9_57862131.htm, Hivernage,357.14285714285717,2,False,True
Appart 2 ch salon vide en location belvédère,5500,Casablanca,76,2,2,1.0,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appart_2_ch_salon_vide_en_location_belv%C3%A9d%C3%A8re_56929806.htm, Belvédère,72.36842105263158,4,False,False
Appartement de prestige à louer à Tanger,15000,Tanger,100,2,2,3.0,https://www.avito.ma/fr/malabata/appartements/Appartement_de_prestige_%C3%A0_louer_%C3%A0_Tanger_57775474.htm, Malabata,150.0,4,False,False
Appartement à louer sur Hay Riad Prestigia,12000,Rabat,150,3,3,0.0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_sur_Hay_Riad_Prestigia_57857263.htm, Hay Riad,80.0,6,False,False
Appartement à louer 90 m² à Casablanca,8000,Casablanca,90,2,1,4.0,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_90_m%C2%B2_%C3%A0_Casablanca_57872101.htm, Maarif,88.88888888888889,3,False,False
Appartement à louer 100 m² à sidi maarouf,5600,Casablanca,100,3,2,0.0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_sidi_maarouf_57730154.htm, Sidi Maarouf,56.0,5,False,False
Propriétaire direct / Appartement deux chambres CFC,13000,Casablanca,100,2,2,6.0,https://www.avito.ma/fr/casablanca_finance_city/appartements/Propri%C3%A9taire_direct___Appartement_deux_chambres_CFC_57813207.htm, Casablanca Finance City,130.0,4,False,False
Appartement à louer à Sidi Maârouf résidence el madina,5500,Casablanca,85,2,1,0.0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_louer_%C3%A0_Sidi_Ma%C3%A2rouf_r%C3%A9sidence_el_madina_57820491.htm, Sidi Maarouf,64.70588235294117,3,False,False
